year,id,hlthinf,hlthgov,hlthtax,hlthsat,conhlth
2022,1,2,5,2,3,3.0
2022,3,4,2,4,3,4.0
2022,5,2,5,5,5,4.0
2022,6,1,5,2,4,5.0
2022,7,3,4,2,3,3.0
2022,8,1,5,1,3,3.0
2022,12,2,4,2,6,3.0
2022,27,1,5,1,2,3.0
2022,31,2,5,4,3,2.0
2022,34,2,4,2,3,3.0
2022,40,1,4,2,5,4.0
2022,45,3,4,4,5,3.0
2022,46,1,4,3,6,5.0
2022,50,5,3,2,2,2.0
2022,51,2,5,1,3,3.0
2022,53,2,4,2,2,1.0
2022,55,4,4,2,3,3.0
2022,59,4,4,5,1,1.0
2022,61,3,4,3,3,3.0
2022,62,3,1,2,2,3.0
2022,64,2,2,2,2,3.0
2022,65,3,2,5,2,2.0
2022,67,2,4,2,3,3.0
2022,77,3,4,5,6,4.0
2022,82,2,3,3,5,3.0
2022,98,2,5,2,3,4.0
2022,101,2,4,4,7,4.0
2022,102,1,4,4,5,4.0
2022,103,5,5,3,5,4.0
2022,105,1,4,1,2,2.0
2022,108,3,4,3,3,2.0
2022,113,2,4,2,6,4.0
2022,120,1,1,1,6,4.0
2022,125,3,4,5,2,2.0
2022,129,2,2,5,1,3.0
2022,130,1,5,1,6,4.0
2022,131,2,4,2,6,5.0
2022,139,1,4,2,3,3.0
2022,145,4,5,5,3,2.0
2022,147,4,5,5,2,2.0
2022,153,2,4,2,3,3.0
2022,161,4,4,4,3,3.0
2022,168,3,2,4,3,4.0
2022,170,1,2,5,6,4.0
2022,177,3,4,4,3,2.0
2022,178,4,4,2,3,3.0
2022,188,1,3,4,3,3.0
2022,189,5,4,2,4,3.0
2022,206,3,3,2,4,2.0
2022,208,2,5,4,3,3.0
2022,209,2,4,4,2,1.0
2022,210,4,3,4,2,2.0
2022,219,2,4,5,4,5.0
2022,221,1,4,2,3,3.0
2022,223,2,2,3,4,3.0
2022,224,2,4,4,3,3.0
2022,226,1,5,2,6,4.0
2022,229,1,4,2,4,3.0
2022,230,2,3,5,4,3.0
2022,231,1,3,3,5,4.0
2022,232,2,5,3,6,3.0
2022,236,2,5,2,3,3.0
2022,242,2,5,4,4,4.0
2022,245,1,5,5,6,4.0
2022,246,2,5,1,7,4.0
